Year,Rank,Team,Player,College,Years,Minutes,MPG,WS,WS48,BPM,VORP
2009,47,MIN,Henk Norel,,,,,,,,
2009,48,PHO,Taylor Griffin,Oklahoma,1,32,4.0,0.0,-.039,-8.1,-0.1
2009,49,ATL,Sergiy Gladyr,,,,,,,,
2009,50,UTA,,Michigan State,,,,,,,
2009,51,SAS,,Miami (FL),,,,,,,
2009,52,IND,A.J. Price,UConn,6,3929,15.1,4.7,.058,-1.3,0.7
2009,53,SAS,Nando De Colo,,2,1414,11.9,2.4,.081,-0.7,0.5
2009,54,CHA,,UAB,,,,,,,
2009,55,POR,Patty Mills,Saint Mary's,12,14667,19.8,32.5,.106,0.3,8.6
2009,56,DAL,,Saint Joseph's,,,,,,,
2009,57,PHO,Emir Preldžić,,,,,,,,
2009,58,BOS,Lester Hudson,University of Tennessee at Martin,4,594,10.4,0.2,.016,-2.1,0.0
2009,59,LAL,Chinemelu Elonu,Texas A&amp;M,,,,,,,
2009,60,MIA,,Memphis,,,,,,,
2010,1,WAS,John Wall,Kentucky,10,21833,35.6,44.1,.097,2.4,24.1
2010,2,PHI,Evan Turner,Ohio State,10,18938,26.9,20.2,.051,-1.9,0.5
2010,3,NJN,Derrick Favors,Georgia Tech,11,18549,24.7,58.8,.152,1.0,13.8
2010,4,MIN,Wesley Johnson,Syracuse,9,13472,22.1,10.7,.038,-1.6,1.2
2010,5,SAC,DeMarcus Cousins,Kentucky,10,18791,31.0,45.2,.116,2.6,21.6
2010,6,GSW,Ekpe Udoh,Baylor,7,5694,14.8,10.4,.088,-1.4,0.8
2010,7,DET,Greg Monroe,Georgetown,9,17475,27.7,49.7,.136,1.4,15.2
2010,8,LAC,Al-Farouq Aminu,Wake Forest,11,17698,24.9,27.6,.075,-0.6,6.4
2010,9,UTA,Gordon Hayward,Butler,11,21268,31.0,57.2,.129,2.1,22.2
2010,10,IND,Paul George,Fresno State,11,23664,33.5,75.3,.153,4.1,36.2
2010,11,NOH,Cole Aldrich,Kansas,8,3389,10.0,9.6,.135,0.1,1.8
2010,12,MEM,Xavier Henry,Kansas,5,2905,15.7,0.8,.013,-4.4,-1.7
2010,13,TOR,Ed Davis,UNC,11,13555,19.6,42.8,.151,-0.2,6.1
2010,14,HOU,Patrick Patterson,Kentucky,11,14923,20.8,31.9,.102,-0.1,7.4
